"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"124","Javian Hawkins",TEN,"3 out of 5 stars","2 out of 5 stars","2.8","-50"
"125","Bryce Love",FA,"-","-","2.8","-"
"126","Todd Gurley II",FA,"-","-","2.8","-50"
"127","Trayveon Williams",CIN,"2 out of 5 stars","3 out of 5 stars","3.0","-"
"128","Keith Smith",ATL,"3 out of 5 stars","4 out of 5 stars","3.0","-"
"129","Xavier Jones",FA,"-","-","2.4","-26"
"130","C.J. Ham",MIN,"4 out of 5 stars","3 out of 5 stars","2.5","-"
"131","Corey Clement",DAL,"1 out of 5 stars","1 out of 5 stars","2.5","-"
"132","Patrick Ricard",BAL,"3 out of 5 stars","3 out of 5 stars","2.0","-"
"133","Khari Blasingame",TEN,"3 out of 5 stars","2 out of 5 stars","1.6","-"
"134","Rodney Smith",TEN,"3 out of 5 stars","2 out of 5 stars","1.6","-"
"135","Michael Burton",KC,"3 out of 5 stars","3 out of 5 stars","2.0","-"
