"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"163","Ihmir Smith-Marsette",MIN,"3 out of 5 stars","3 out of 5 stars","3.5","-"
"164","David Moore",FA,"-","-","2.4","-54"
"165","Dazz Newsome",CHI,"2 out of 5 stars","3 out of 5 stars","2.4","+72"
"166","Jalen Hurd",FA,"-","-","2.4","+2"
"167","Jakeem Grant Sr.",CHI,"2 out of 5 stars","3 out of 5 stars","2.5","-"
"168","Dez Fitzpatrick",TEN,"3 out of 5 stars","4 out of 5 stars","2.0","-"
"169","Antonio Gandy-Golden",WAS,"3 out of 5 stars","3 out of 5 stars","2.5","-29"
"170","Mike Strachan",IND,"3 out of 5 stars","3 out of 5 stars","2.0","-3"
"171","Willie Snead IV",CAR,"3 out of 5 stars","2 out of 5 stars","2.0","-71"
"172","Golden Tate",TEN,"3 out of 5 stars","4 out of 5 stars","2.0","+87"
